Season,Day,Month,Date,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
Spring,Friday,March,26,1,1,1,1,1,1,1,1,1,1,1,1,2,2,25,25,25,25,13,13,14,14,8,8,8,8,5,10,5,10,13,13,5,5,22,22,12,12,8,8,22,22,12,12,5,12,5,5
Spring,Saturday,March,27,5,5,1,1,1,1,1,1,2,2,5,5,5,5,5,5,16,16,4,4,4,4,4,4,16,16,11,11,11,11,11,11,11,11,11,11,22,22,13.1,13.1,18,18,22,22,12,12,12,12
Spring,Sunday,March,28,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,20,20,13,13,14,14,7,7,7,7,25,25,20,20,10,10,10,12,13.1,13.1,10,12,22,22,22,22,12,12
Spring,Monday,March,29,1,1,1,1,1,1,1,1,1,1,2,2,25,25,16,16,3,3,3,3,3,3,11,11,3,3,11,11,16,16,1,1,17,17,13.1,13.1,10,10,14,14,5,10,5,12,12,12,1,1
Spring,Tuesday,March,30,1,1,1,1,1,1,1,1,1,1,2,2,13,13,16,16,3,3,3,3,3,3,16,16,13,13,1,1,24,24,10,12,17,17,10,12,20,20,5,5,5,5,10,12,12,12,5,12
Spring,Wednesday,March,31,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,10,12,5,5,5,13,5,5,25,25,25,25,10,12,10,10,13.1,13.1,5,10,5,5,10,12,12,12,18,18
Spring,Thursday,April,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,14,14,13,13,16,16,3,3,3,3,11,11,3,3,3,3,11,11,11,11,11,11,12,12,10,12,13.1,13.1,12,12,12,12,12,12
Spring,Friday,April,2,25,25,1,1,1,1,1,1,1,1,1,1,2,2,16,16,3,3,3,3,11,11,11,11,11,11,3,3,16,16,24,24,24,24,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,24,24,12,12,12,12
Spring,Saturday,April,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,10,12,10,12,13.1,13.1,10,10,7,7,5,10,5,5,5,10,13,13,5,5,12,12,9,9,9,9
Spring,Sunday,April,4,24,24,1,1,1,1,1,1,1,1,1,1,2,2,24,24,24,24,10,12,10,12,14,14,13,13,24,24,24,24,24,24,24,24,24,24,10,12,5,5,5,12,12,12,12,12,12,12
Spring,Monday,April,5,12,12,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,12,13,13,24,24,24,24,13,13,17,17,10,10,5,10,5,10,5,5,5,5,13.1,13.1,13,14,12,12,12,12,12,12
Spring,Tuesday,April,6,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,20,20,13,13,14,14,14,14,10,10,17,17,5,5,5,5,5,20,5,12,13.1,13.1,13.1,13.1,12,12,22,22,10,12
Spring,Wednesday,April,7,12,12,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,24,24,25,25,5,20,5,5,5,5,13.1,13.1,5,10,13.1,13.1,5,10,5,5,10,12,12,12,12,12,11,11
Spring,Thursday,April,8,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,13.1,13.1,10,12,17,17,5,10,5,5,5,10,5,5,5,10,5,5,13.1,13.1,5,10,12,12,12,12,5,12
Spring,Friday,April,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,10,12,14,14,25,25,10,10,5,5,5,5,20,20,10,13,17,17,5,5,5,5,13.1,13.1,12,12,12,12,10,12
Spring,Saturday,April,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,13,13,14,14,10,10,17,17,5,5,5,20,19,19,19,19,10,10,13.1,13.1,5,5,13.1,13.1,5,12,5,12,12,12
Spring,Sunday,April,11,10,12,1,1,1,1,1,1,1,1,1,1,1,1,2,2,17,17,19,19,14,14,25,25,5,10,5,5,5,5,5,13,5,10,5,5,13.1,13.1,13,13,5,10,10,12,12,12,5,12
